X,Y,Z,angle,lsx,lsy,formation,group
500000.0000000149,7453468.069579024,278.,0.0,0.0,-1.0,Ashburton_Formation,Wyloo_Group
500000.0000000149,7454065.128191341,279.,0.0,0.0,-1.0,Ashburton_Formation,Wyloo_Group
499866.3516095644,7454612.48820315,279.,145.57022831019947,0.5653956676697524,-0.8248198221310368,Ashburton_Formation,Wyloo_Group
499590.9774262132,7454898.001319873,278.,122.57260321261577,0.8427099215591738,-0.5383678929001348,Ashburton_Formation,Wyloo_Group
499261.80458258465,7455075.787341976,278.,114.95882493096816,0.9066112635910307,-0.4219668431640981,Ashburton_Formation,Wyloo_Group
498874.71243239613,7455273.317727448,276.,118.91678398119667,0.8753229187602348,-0.4835388173591273,Ashburton_Formation,Wyloo_Group
498297.0956206005,7455604.163662378,275.,120.26504373363974,0.8637032031824223,-0.5040007706466559,Ashburton_Formation,Wyloo_Group
497483.2168915421,7456041.95999664,275.,116.48963101546461,0.8950150966677372,-0.4460358469191025,Ashburton_Formation,Wyloo_Group
496808.2311194292,7456369.520579764,274.,114.77115144408836,0.9079885585385907,-0.4189949612620802,Ashburton_Formation,Wyloo_Group
494532.8481616583,7456479.236153204,266.,89.97883539170728,0.9999999317747391,0.00036939209120225486,Ashburton_Formation,Wyloo_Group
493896.9380546608,7456730.11091177,270.,130.60129506860736,0.7592565975538235,-0.6507913790693537,Ashburton_Formation,Wyloo_Group
493160.2610940216,7457298.014851663,261.,125.52678001761426,0.8138440091792604,-0.5810834094370859,Ashburton_Formation,Wyloo_Group
492222.5148869697,7457884.0682163015,263.,118.58797475961825,0.8780834239551678,-0.4785075762986088,Ashburton_Formation,Wyloo_Group
491194.6803942099,7458451.140535485,265.,119.16056513735336,0.873257648772151,-0.48725873913243967,Ashburton_Formation,Wyloo_Group
490127.61370699666,7459117.098074475,263.,124.61819221892736,0.8229560286389654,-0.5681050738435474,Ashburton_Formation,Wyloo_Group
489243.6389838606,7459739.663903732,259.,125.96051823057101,0.809421837366147,-0.5872276297951337,Ashburton_Formation,Wyloo_Group
488522.6374054989,7460236.107911918,258.,123.16597771741705,0.8370893094261427,-0.5470662556258279,Ashburton_Formation,Wyloo_Group
487805.3399817506,7460652.647574617,257.,116.70462443515902,0.8933351201539211,-0.44939110260393356,Ashburton_Formation,Wyloo_Group
