hint,code
0.02,A-STmi-od
0.03,A-STmi-ogdh
0.04,A-STmi-ogh
0.05,A-STmi-ogp
0.06,A-STmi-og
0.07,A-STmi-xog-ax
0.08,A-STmi-xmu-mc
0.09,A-STmi-mut
0.1,A-STmi-ma
0.11,A-STmi-max
0.12,A-STmi-matk
0.13,A-STmi-mat
0.14,A-STmi-map
0.0,A-RA-mgmn
0.01,A-RAtw-gf
0.02,A-RAbu-xo-a
0.03,A-RApi-mgtn
0.0,P_-TK-s
0.01,A-HAL-xkt-ci
0.02,P_-HAo-ci
0.03,P_-HAw-fr
0.04,P_-HAj-xci-od
0.05,P_-HAb-cib
0.0,A-FO-xb-s
0.01,P_-HAU-xci-f
0.02,A-HAr-xsk-c
0.03,A-HAu-xsl-ci
0.04,A-HAy-xci-sl
0.05,A-HAd-kd
0.06,A-HAc-kds
0.07,A-HAm-cib
0.0,P_-WK-gi
0.01,P_-WK-od
0.02,P_-WKgy-od
0.03,P_-WKpr-od
0.04,P_-WKal-o
0.05,P_-WK-mg
0.06,P_-WK-mgry
0.07,P_-WK-mgyd
0.08,P_-WK-g
0.09,P_-WK-ge
0.1,P_-WK-gfa
0.11,P_-WK-gfh
0.12,P_-WK-gfl
0.13,P_-WK-gflh
0.14,P_-WK-gflp
0.15,P_-WK-ggc
0.16,P_-WK-gkh
0.17,P_-WK-gmhb
0.18,P_-WK-gp
0.19,P_-WK-grah
0.2,P_-WK-grb
0.21,P_-WK-grh
0.22,P_-WK-grhb
0.23,P_-WK-grl
0.24,P_-WK-gta
0.25,P_-WK-xg-fr
0.26,P_-WK-zt
0.27,P_-WKho-og
0.28,P_-WKku-od
0.29,P_-WKH-o
0.3,P_-WKG-xo-a
0.31,P_-WK-frp
0.32,P_-WKrh-od
0.0,A-CDm-xmds-mi
0.01,A-CDm-mde
0.02,A-CDm-mhez
0.03,A-CDm-ml
0.04,A-CDm-sh
0.05,A-CDm-sli
0.06,A-CDm-sw
0.07,A-CDm-sws
0.08,A-CDm-xs-fdp
0.09,A-CDm-bk
0.1,A-CDmm-bb
0.0,A-CDc-mhez
0.01,A-CDc-mdy
0.02,A-CDc-xmds-mi
0.03,A-CDc-xmm-musr
0.04,A-CDc-od
0.05,A-CDc-cc
0.06,A-CDc-cci
0.07,A-CDc-xsli-ci
0.08,A-CDc-sh
0.09,A-CDc-shi
0.1,A-CDc-sl
0.11,A-CDc-xsw-sl
0.12,A-CDc-sw
0.13,A-CDc-swc
0.14,A-CDc-swa
0.15,A-CDc-ss
0.16,A-CDc-sac
0.17,A-CDc-sta
0.18,A-CDc-stq
0.19,A-CDc-sg
0.2,A-CDc-scp
0.21,A-CDc-xs-fdp
0.22,A-CDc-xs-bbt
0.23,A-CDc-bk
0.24,A-CDcy-mbs
0.25,A-CDc-scs
0.0,A-MRer-gm
