X,Y,l,m,n
533057.0,7468348.0,0.49670395212157414,-0.878467943214277,0.688937875838532
535057.0,7468348.0,0.4846042935724446,-0.8465671287226311,0.6577496197088704
537057.0,7468348.0,0.47148546686788206,-0.8161522655140021,0.6295768019801065
531057.0,7470348.0,0.5056674346834504,-0.91215406228637,0.7169503307928862
533057.0,7470348.0,0.49425310275067647,-0.8791616261336324,0.6833262383526582
535057.0,7470348.0,0.4821321724073204,-0.8472016406915475,0.6517907652822008
537057.0,7470348.0,0.4689839713735382,-0.8167332939468084,0.6232670493531249
539057.0,7470348.0,0.45441878268618474,-0.7883144353071709,0.5988764446647887
527057.0,7472348.0,0.5243839344902734,-0.9829284819292199,0.7865506745395061
529057.0,7472348.0,0.5136474203483004,-0.9488915998554397,0.7505836609191485
531057.0,7472348.0,0.5025647151591013,-0.9153676660845331,0.7156466952333229
533057.0,7472348.0,0.4909842525595387,-0.8825743500522316,0.682176681344774
535057.0,7472348.0,0.47868262076944834,-0.8508318522490668,0.6508162783223566
537057.0,7472348.0,0.4653505844313073,-0.8205828453647848,0.6224539182174933
539057.0,7472348.0,0.45062189455284063,-0.7923515033387023,0.5981416074402843
525057.0,7474348.0,0.5318227519148748,-1.021960293105744,0.8245788257486497
527057.0,7474348.0,0.5211389778003372,-0.9878380057953033,0.7882101732333116
529057.0,7474348.0,0.5101810577734964,-0.9541248972239007,0.7526496926700577
531057.0,7474348.0,0.4988441558362928,-0.9209719392897262,0.7181992134588979
533057.0,7474348.0,0.48697685300994964,-0.8885966393888558,0.685293940396384
535057.0,7474348.0,0.4743660099049749,-0.8573046263990083,0.6545457467770084
537057.0,7474348.0,0.46073258998726185,-0.8274956378872695,0.626755165794513
539057.0,7474348.0,0.44576534412702884,-0.7996156100431837,0.6028152349207794
541057.0,7474348.0,0.42921746443227304,-0.7740191244921788,0.5834354695856558
543057.0,7474348.0,0.4110288330022147,-0.75079542682818,0.5687927388494893
525057.0,7476348.0,0.5284735602088415,-1.0283949182609136,0.828682556596462
527057.0,7476348.0,0.5175400181447336,-0.9946757450399706,0.7928708646586404
529057.0,7476348.0,0.5062956160548606,-0.9614207894040163,0.7579630627617799
531057.0,7476348.0,0.4946334624225788,-0.928784196676887,0.7242660304817976
533057.0,7476348.0,0.4824066586371667,-0.8969773151611617,0.6922011368784586
543057.0,7476348.0,0.4054433952672123,-0.760966250108293,0.577461943099141
525057.0,7478348.0,0.5249002526978392,-1.0365295117907678,0.8353724737860411
527057.0,7478348.0,0.5136811715749632,-1.0033034740465112,0.8002778881259776
529057.0,7478348.0,0.5021147268514121,-0.9705986453150497,0.7661858654303386
531057.0,7478348.0,0.49009567561489087,-0.9385672685193156,0.7333980909129849
533057.0,7478348.0,0.47748713439205437,-0.907406931155462,0.7023067818492668
535057.0,7478348.0,0.4641192411793389,-0.8773625169623642,0.6733985353859482
537057.0,7478348.0,0.4497991552132343,-0.8487120244095379,0.6472257930976357
539057.0,7478348.0,0.434340532918867,-0.8217246669022762,0.6243226744365451
541057.0,7478348.0,0.41761191600175707,-0.7965920604420496,0.605066792329056
543057.0,7478348.0,0.39958314818331764,-0.7733622353459557,0.5895467120833491
545057.0,7478348.0,0.380337709983114,-0.7519221943611649,0.5775267884575861
527057.0,7480348.0,0.5096666817791213,-1.013565095677587,0.810142058948661
529057.0,7480348.0,0.4977698732772122,-0.981462894751886,0.77695185799619
531057.0,7480348.0,0.4853954462387149,-0.9500775862610822,0.7451352490606973
533057.0,7480348.0,0.4724206450529076,-0.9195873495497642,0.7150439434548748
535057.0,7480348.0,0.45870218735513113,-0.8902000181357117,0.6870884499880305
537057.0,7480348.0,0.44408756466162425,-0.8621370594277926,0.6617058229822907
539057.0,7480348.0,0.42843807983621796,-0.8356008576632585,0.6392938887052155
541057.0,7480348.0,0.4116603984725047,-0.8107298919708197,0.6201211593463416
529057.0,7470348.0,0.5166014665530194,-0.9458544334993997,0.7520103377026226
541057.0,7470348.0,0.4381039259336963,-0.7624221285758779,0.5795785135888876
541057.0,7472348.0,0.4341908017778682,-0.766576247861599,0.5787593486181932
535057.0,7476348.0,0.4694206958164955,-0.8662795597762307,0.6623259946146098
537057.0,7476348.0,0.4554383564901938,-0.8370314792770204,0.6353204981292988
539057.0,7476348.0,0.4402136965026675,-0.8095864294344439,0.611889796282449
541057.0,7476348.0,0.4235631676510534,-0.7842093781708486,0.5925611750550677
595057.0,7472348.0,-0.12555639630478654,-0.37686548764499994,0.6765722736205189
597057.0,7472348.0,-0.12968371747459548,-0.38142153599710327,0.7021569400293572
599057.0,7472348.0,-0.13067988844728365,-0.39379859704638726,0.7307607176205141
601057.0,7472348.0,-0.12917783009362951,-0.4131114900474178,0.7617212236747867
597057.0,7474348.0,-0.14508212638711962,-0.40587762929415566,0.6821955785480495
599057.0,7474348.0,-0.1450239745493901,-0.4165954277832465,0.7122259574503287
601057.0,7474348.0,-0.1421010876801946,-0.43364949413858994,0.7451344773984474
533057.0,7468348.0,0.49670395212157414,-0.878467943214277,0.688937875838532
535057.0,7468348.0,0.4846042935724446,-0.8465671287226311,0.6577496197088704
537057.0,7468348.0,0.47148546686788206,-0.8161522655140021,0.6295768019801065
531057.0,7470348.0,0.5056674346834504,-0.91215406228637,0.7169503307928862
533057.0,7470348.0,0.49425310275067647,-0.8791616261336324,0.6833262383526582
535057.0,7470348.0,0.4821321724073204,-0.8472016406915475,0.6517907652822008
537057.0,7470348.0,0.4689839713735382,-0.8167332939468084,0.6232670493531249
539057.0,7470348.0,0.45441878268618474,-0.7883144353071709,0.5988764446647887
527057.0,7472348.0,0.5243839344902734,-0.9829284819292199,0.7865506745395061
529057.0,7472348.0,0.5136474203483004,-0.9488915998554397,0.7505836609191485
531057.0,7472348.0,0.5025647151591013,-0.9153676660845331,0.7156466952333229
533057.0,7472348.0,0.4909842525595387,-0.8825743500522316,0.682176681344774
535057.0,7472348.0,0.47868262076944834,-0.8508318522490668,0.6508162783223566
537057.0,7472348.0,0.4653505844313073,-0.8205828453647848,0.6224539182174933
539057.0,7472348.0,0.45062189455284063,-0.7923515033387023,0.5981416074402843
525057.0,7474348.0,0.5318227519148748,-1.021960293105744,0.8245788257486497
527057.0,7474348.0,0.5211389778003372,-0.9878380057953033,0.7882101732333116
529057.0,7474348.0,0.5101810577734964,-0.9541248972239007,0.7526496926700577
531057.0,7474348.0,0.4988441558362928,-0.9209719392897262,0.7181992134588979
533057.0,7474348.0,0.48697685300994964,-0.8885966393888558,0.685293940396384
535057.0,7474348.0,0.4743660099049749,-0.8573046263990083,0.6545457467770084
537057.0,7474348.0,0.46073258998726185,-0.8274956378872695,0.626755165794513
539057.0,7474348.0,0.44576534412702884,-0.7996156100431837,0.6028152349207794
541057.0,7474348.0,0.42921746443227304,-0.7740191244921788,0.5834354695856558
543057.0,7474348.0,0.4110288330022147,-0.75079542682818,0.5687927388494893
525057.0,7476348.0,0.5284735602088415,-1.0283949182609136,0.828682556596462
527057.0,7476348.0,0.5175400181447336,-0.9946757450399706,0.7928708646586404
529057.0,7476348.0,0.5062956160548606,-0.9614207894040163,0.7579630627617799
531057.0,7476348.0,0.4946334624225788,-0.928784196676887,0.7242660304817976
533057.0,7476348.0,0.4824066586371667,-0.8969773151611617,0.6922011368784586
543057.0,7476348.0,0.4054433952672123,-0.760966250108293,0.577461943099141
525057.0,7478348.0,0.5249002526978392,-1.0365295117907678,0.8353724737860411
527057.0,7478348.0,0.5136811715749632,-1.0033034740465112,0.8002778881259776
529057.0,7478348.0,0.5021147268514121,-0.9705986453150497,0.7661858654303386
531057.0,7478348.0,0.49009567561489087,-0.9385672685193156,0.7333980909129849
533057.0,7478348.0,0.47748713439205437,-0.907406931155462,0.7023067818492668
535057.0,7478348.0,0.4641192411793389,-0.8773625169623642,0.6733985353859482
537057.0,7478348.0,0.4497991552132343,-0.8487120244095379,0.6472257930976357
539057.0,7478348.0,0.434340532918867,-0.8217246669022762,0.6243226744365451
541057.0,7478348.0,0.41761191600175707,-0.7965920604420496,0.605066792329056
543057.0,7478348.0,0.39958314818331764,-0.7733622353459557,0.5895467120833491
545057.0,7478348.0,0.380337709983114,-0.7519221943611649,0.5775267884575861
527057.0,7480348.0,0.5096666817791213,-1.013565095677587,0.810142058948661
529057.0,7480348.0,0.4977698732772122,-0.981462894751886,0.77695185799619
531057.0,7480348.0,0.4853954462387149,-0.9500775862610822,0.7451352490606973
533057.0,7480348.0,0.4724206450529076,-0.9195873495497642,0.7150439434548748
535057.0,7480348.0,0.45870218735513113,-0.8902000181357117,0.6870884499880305
537057.0,7480348.0,0.44408756466162425,-0.8621370594277926,0.6617058229822907
539057.0,7480348.0,0.42843807983621796,-0.8356008576632585,0.6392938887052155
541057.0,7480348.0,0.4116603984725047,-0.8107298919708197,0.6201211593463416
599057.0,7468348.0,-0.0980279687425315,-0.37603426938835827,0.7728266115428397
601057.0,7468348.0,-0.09902572874306415,-0.39652855747057025,0.8005948862058274
597057.0,7470348.0,-0.11246940446206358,-0.3666079234239265,0.7243777090767126
599057.0,7470348.0,-0.11451851082706863,-0.3800173178608955,0.751599776366745
601057.0,7470348.0,-0.11442230032878661,-0.40051527205835497,0.7807215543516177
593057.0,7472348.0,-0.11781423032763147,-0.3792194595604852,0.6546726722329821
593057.0,7474348.0,-0.13289790011867503,-0.4031016875246282,0.6352890688093445
595057.0,7474348.0,-0.14124432850469298,-0.4017468824568344,0.6562675332056238
597057.0,7478348.0,-0.1617058900342588,-0.4678456236751823,0.661540616022283
599057.0,7478348.0,-0.16107302613675323,-0.4760504429679252,0.6923625264432918
601057.0,7478348.0,-0.15709689506445781,-0.48867605598144453,0.7268688103553537
